#{"t_start": 1734491947.5155394, "env_id": "None"}
r,l,t
132.41425,1000,14856.368186
180.81927,1000,14858.138524
413.69415,1000,14858.138576
44.365433,413,14861.482722
186.20341,1000,14867.231932
7.78846,626,14869.511354
38.514923,1000,14870.585916
157.52193,1000,14878.053757
530.65967,1000,14881.916876
423.29327,1000,14884.892614
274.9958,1000,14884.892668
29.511719,732,14889.990635
573.33484,1000,14892.811459
254.09381,1000,14895.627732
393.545,1000,14909.274185
184.24503,1000,14918.366126
203.12004,1000,14925.875674
126.1497,1000,14928.167504
284.6127,1000,14937.258366
347.54926,1000,14946.898007
520.1514,1000,14947.97694
460.77933,1000,14949.202998
132.25397,1000,14952.559693
16.316765,850,14958.338121
353.9432,1000,14968.525193
194.86987,1000,14971.495109
58.73044,1000,14985.678367
224.71933,1000,14986.760075
302.05786,1000,14994.796554
346.36563,1000,15010.680142
482.37192,1000,15011.755815
778.23364,1000,15018.5646
335.5365,1000,15023.786049
377.5065,1000,15037.929855
73.20163,1000,15039.869346
511.50998,1000,15041.48095
193.10054,1000,15042.171591
146.2973,943,15050.865478
429.40793,1000,15054.883278
202.7866,1000,15063.966934
152.62677,1000,15065.737964
806.12164,1000,15065.738012
340.85553,1000,15068.025008
185.27402,1000,15070.846645
193.90343,1000,15079.399755
79.05547,1000,15083.806841
644.82733,1000,15083.806887
262.70734,1000,15083.806904
800.7409,1000,15083.806916
132.38974,1000,15083.806928
331.67245,1000,15083.806938
566.6682,1000,15083.806948
304.17676,1000,15083.806958
183.27443,1000,15083.806968
349.99634,1000,15083.806978
424.71042,1000,15083.806988
392.25653,1000,15083.806997
396.68658,1000,15083.807007
434.0092,1000,15083.807017
331.65103,1000,15083.807026
302.55655,1000,15083.807036
250.76785,1000,15083.807045
131.05672,1000,15083.807055
315.221,1000,15083.807064
239.33752,1000,15083.807074
115.767914,1000,15083.807083
218.68246,1000,15083.807093
250.5122,1000,15083.807103
313.79028,1000,15083.807112
361.01395,1000,15083.807122
351.38486,1000,15083.807132
145.84256,1000,15083.807142
398.2526,1000,15083.807151
107.920616,1000,15083.807161
228.857,1000,15083.807171
238.7581,1000,15083.807181
348.48303,1000,15083.807191
244.94278,1000,15083.807201
391.95837,1000,15083.80721
329.65295,1000,15083.80722
269.1712,1000,15100.859154
565.32117,1000,15131.45694
709.52155,1000,15142.34868
213.2037,1000,15173.7259
274.1897,1000,15181.631245
374.40125,1000,15194.20767
117.94932,1000,15198.228822
137.17528,1000,15206.637131
295.7564,1000,15240.135015
292.85468,1000,15268.551
288.6897,1000,15270.838363
448.0381,1000,15271.921574
215.2856,1000,15289.547332
220.68521,1000,15291.300639
281.4765,1000,15304.924367
101.8058,1000,15307.212168
288.8863,1000,15308.822739
20.983055,527,15311.778589
325.8536,1000,15327.664175
33.63675,462,15346.408113
406.94208,1000,15358.515486
227.38002,1000,15383.58533
-70.63692,832,15400.753302
248.24225,1000,15426.938775
246.71216,1000,15428.717751
295.01727,1000,15428.717801
855.06354,1000,15432.087301
121.88493,973,15437.349227
350.6998,1000,15437.902659
286.02567,1000,15440.204365
254.60788,1000,15441.289937
-0.67987823,907,15445.87505
252.11316,1000,15448.875489
211.18384,1000,15455.739348
523.1338,1000,15455.739401
496.02362,1000,15460.835933
276.66434,1000,15463.668194
62.33818,1000,15466.500666
59.72219,1000,15480.204575
788.4492,1000,15489.374629
-32.156296,979,15496.253418
224.83759,1000,15517.967829
207.40387,1000,15519.049432
194.69814,1000,15520.275131
283.51123,1000,15523.62815
324.1342,1000,15529.399054
370.5843,1000,15539.57688
178.51959,1000,15542.542288
37.385468,422,15545.900636
26.427322,186,15552.199525
243.0634,1000,15556.763004
353.84232,1000,15557.847967
253.3526,1000,15565.905998
357.7421,1000,15582.930593
271.33142,1000,15589.784222
285.45023,1000,15595.036201
166.86725,1000,15609.282865
258.9708,1000,15611.043041
267.26846,1000,15612.664547
91.2762,1000,15613.359167
561.92377,1000,15621.292537
531.175,1000,15625.33205
490.9043,1000,15634.478585
249.47849,1000,15636.257988
419.73337,1000,15636.258037
383.7501,1000,15638.555449
100.00123,1000,15641.388172
511.30362,1000,15649.992629
188.25496,1000,15654.583569
220.94211,1000,15654.583616
378.9247,1000,15654.583632
313.42264,1000,15654.583644
383.86826,1000,15654.583655
442.24884,1000,15654.583665
77.51619,1000,15654.583675
78.94599,1000,15654.583685
291.88815,1000,15654.583695
262.7077,1000,15654.583704
335.4201,1000,15654.583714
385.33792,1000,15654.583723
161.43372,1000,15654.583733
152.78596,1000,15654.583742
59.259308,1000,15654.583751
